topic,label,family,total_tweets,peak_day,peak_tweets,peak_authors,peak_originals,peak_rt_fraction,peak_likes,peak_views,peak_retweets,peak_per_100k,baseline_per_100k,share_lift,spike_score,baseline_tweets,low_baseline,window_boundary_peak,language_adjusted_share_lift
#tbs,#tbs,Hashtag / unclassified,3327,2026-08-22,742,603,54,0.9272237196765498,109247,3909946,11662,3.215486894269114,0.7012126580773983,4.587700829039007,14.528798133179004,2299,False,False,
#극장판치이카와,#극장판치이카와,Hashtag / unclassified,1106,2026-08-31,272,256,1,0.9963235294117647,117,10573,82,1.4278890565900257,0.2374299821844955,6.021171622382897,14.52878010900979,788,False,True,
#드라큘라,#드라큘라,Hashtag / unclassified,1522,2026-08-20,402,200,19,0.9527363184079602,4629,241048,3391,1.7013798232689594,0.3180485338763056,5.353516555482767,14.520347143626134,1041,False,False,
#ลีน่าลลินา,#ลีน่าลลินา,Hashtag / unclassified,6762,2026-08-20,1451,624,326,0.7753273604410751,183559,3869164,57868,6.1410500586150745,1.54197017336572,3.983577329858268,14.518180402476736,5047,False,False,
#東京ディズニーシー,#東京ディズニーシー,Hashtag / unclassified,1044,2026-09-07,208,207,4,0.9807692307692307,19838,1270898,67567,8.657140205299086,1.317536675815144,6.57592176655537,14.51615395668544,311,False,False,
#altıüstüistanbul,#altıüstüistanbul,Hashtag / unclassified,14924,2026-08-17,2716,819,1769,0.3486745213549337,211574,13895866,8984,12.431885534375171,3.4835522140491877,3.569239267124167,14.514741188573534,11464,False,True,
#박진영,#박진영,Hashtag / unclassified,2502,2026-08-21,624,309,118,0.8108974358974359,19322,659412,10315,2.5378222963143418,0.532253249209211,4.770520090385899,14.511635734899983,1737,False,False,
#fronterasur,#fronterasur,Hashtag / unclassified,2150,2026-08-30,542,491,26,0.9520295202952029,18253,1063041,8425,2.2856246439254044,0.46298703336511016,4.939616276782488,14.511052253339997,1515,False,False,
#romy,#romy,Hashtag / unclassified,1275,2026-08-17,330,293,10,0.9696969696969697,21649,145445,3398,1.5105015560912396,0.2671006975008056,5.660524722744631,14.510725532235044,879,False,True,
#manutd,#manutd,Hashtag / unclassified,2933,2026-08-22,682,490,497,0.27126099706744866,22373,2138212,1685,2.9554744769427703,0.6335009529476974,4.667600399324863,14.50631647940558,2077,False,False,
#sho,#sho,Hashtag / unclassified,2126,2026-08-27,534,390,22,0.9588014981273408,13872,385379,3161,2.269923584765344,0.4587500674533638,4.951046252410803,14.49779696878676,1502,False,False,
#투모로우바이투게더,#투모로우바이투게더,Hashtag / unclassified,17423,2026-08-26,3444,2764,107,0.968931475029036,160888,10731515,44453,13.677338790183784,3.9830415444586635,3.434259143756636,14.497520043838884,12975,False,False,
#ikon_fourever_tour,#ikon_fourever_tour,Hashtag / unclassified,2380,2026-08-22,586,332,150,0.7440273037542662,16036,367045,5860,2.5394546092206207,0.5255282339570931,4.8349142249799435,14.493557061020303,1723,False,False,
#filmracha,#filmracha,Hashtag / unclassified,9968,2026-08-21,2094,711,471,0.7750716332378224,162304,3432407,74376,8.516345975131781,2.2901904344212105,3.7192581057274583,14.491763954910823,7474,False,False,
#빅뱅,#빅뱅,Hashtag / unclassified,17363,2026-08-21,3478,1603,293,0.9157561817136285,208103,5706995,60305,14.145105683623846,4.128716338425393,3.4263951659046956,14.488031530641273,13474,False,False,
#カレハロ,#カレハロ,Hashtag / unclassified,1029,2026-08-23,311,136,113,0.6366559485530547,6470,173481,476,1.259877071647062,0.21946261336220987,5.745953394954005,14.48699139241516,716,False,False,
#halamadrid,#halamadrid,Hashtag / unclassified,3638,2026-08-22,822,644,621,0.24452554744525545,15027,516902,1251,3.562170117370905,0.7985101082412478,4.4628816849642625,14.486395416038887,2618,False,False,
#doorsroblox,#doorsroblox,Hashtag / unclassified,1166,2026-08-30,233,168,22,0.9055793991416309,3043,119385,343,0.9825655757096295,0.15616262313503054,6.2992763027431256,14.484892758297779,511,False,False,
#lluvias,#lluvias,Hashtag / unclassified,2054,2026-08-23,530,338,151,0.7150943396226415,3501,497705,2324,2.147057388980524,0.4337145222172164,4.953312834390972,14.484621367073077,1415,False,False,
#오늘의enhypen,#오늘의enhypen,Hashtag / unclassified,10187,2026-08-23,2138,1570,0,1.0,0,0,0,8.661148486113886,2.339299811704449,3.703076504117235,14.482915347332435,7632,False,False,
#oplive,#oplive,Hashtag / unclassified,2236,2026-08-23,593,136,508,0.14333895446880274,6536,175188,406,2.4022736446517934,0.499308096602011,4.813784025256794,14.48015022682486,1629,False,False,
#theyellowmonkey,#theyellowmonkey,Hashtag / unclassified,1238,2026-08-27,341,311,28,0.9178885630498533,9429,310678,1873,1.449520491395098,0.25991764807111356,5.581742665170593,14.47450609685763,851,False,False,
#映画白鳥とコウモリ,#映画白鳥とコウモリ,Hashtag / unclassified,5567,2026-08-19,1179,888,106,0.9100932994062765,118202,4409723,17128,5.058503372056698,1.2257762380639123,4.128011526503823,14.467998317786664,4016,False,False,
#gunsmile,#gunsmile,Hashtag / unclassified,2021,2026-08-31,440,377,39,0.9113636363636364,30639,493612,16398,2.309820532719159,0.4453318701379243,5.190877512434551,14.467439376484661,1478,False,True,
#epic,#epic,Hashtag / unclassified,1912,2026-08-20,394,345,188,0.5228426395939086,4190,152643,373,1.6675215183282837,0.31193809134265904,5.349844713334553,14.46589626656314,1021,False,False,
#pond,#pond,Hashtag / unclassified,1556,2026-08-22,417,410,7,0.9832134292565947,5,2392,1,1.8070863004180868,0.34343864854073525,5.265714745964326,14.464812062658154,1126,False,False,
#proxieonglee,#proxieonglee,Hashtag / unclassified,1788,2026-08-22,430,216,66,0.8465116279069768,7748,182795,10086,1.863422324172128,0.3571639941751341,5.221110778600657,14.463765887974324,1171,False,False,
#jungwoo,#jungwoo,Hashtag / unclassified,1253,2026-08-30,285,260,18,0.9368421052631579,16015,416773,3946,1.2018505968980446,0.2044477394859793,5.884437337062,14.461830760705269,669,False,False,
#renxwilliam,#renxwilliam,Hashtag / unclassified,1225,2026-08-19,345,283,33,0.9043478260869565,16946,272499,10059,1.480223633044581,0.2667650478256622,5.5536558685995345,14.460802565487285,874,False,False,
#ニアジョイ_カメコ,#ニアジョイ_カメコ,Hashtag / unclassified,6408,2026-08-20,1400,440,308,0.78,57666,1621745,3726,5.925203364618266,1.486365146309536,3.9873850469789844,14.456867370740335,4865,False,False,
#호시,#호시,Hashtag / unclassified,3211,2026-08-29,692,373,104,0.8497109826589595,38073,819420,10198,3.0131960569978253,0.6515824585574577,4.626686476359663,14.455541155043273,2137,False,False,
#モブせか,#モブせか,Hashtag / unclassified,1140,2026-08-22,312,235,8,0.9743589743589743,2270,63243,1992,1.352064570096986,0.2366859602731888,5.7179533347941724,14.454567494302449,776,False,False,
#柳田悠岐,#柳田悠岐,Hashtag / unclassified,1159,2026-08-30,320,251,56,0.825,19218,1679867,3206,1.349446284236401,0.23806395973031075,5.673634118106354,14.453264850700346,779,False,False,
#松田好花,#松田好花,Hashtag / unclassified,1800,2026-08-25,436,221,143,0.6720183486238532,30280,838942,4289,2.0374825762527853,0.3926715937160176,5.192713716028103,14.44889246896522,1294,False,False,
#fav795,#fav795,Hashtag / unclassified,1466,2026-08-24,398,144,195,0.5100502512562815,20587,1103808,1799,1.6716529947432395,0.3142504176229091,5.323586591725728,14.447761788513741,1028,False,False,
#kyadondo7s,#kyadondo7s,Hashtag / unclassified,1209,2026-08-23,355,126,138,0.6112676056338029,3428,308163,752,1.4381233454492186,0.2617612734795073,5.498544964805362,14.446747829121081,854,False,False,
#スタマイ,#スタマイ,Hashtag / unclassified,2784,2026-08-22,627,520,45,0.9282296650717703,22999,2009983,14565,2.717129761060289,0.5746344705601645,4.730963892306231,14.445039319630743,1884,False,False,
#obd_squeezy,#obd_squeezy,Hashtag / unclassified,1085,2026-08-26,325,325,3,0.9907692307692307,19581,805171,3388,1.290689636123615,0.22900570267176593,5.640948788719848,14.4437361475381,746,False,False,
#zzzfanart,#zzzfanart,Hashtag / unclassified,1023,2026-08-29,290,283,4,0.9862068965517241,9834,67096,866,1.26275557301932,0.21648270733542108,5.838999943000542,14.442699866270841,710,False,False,
#ynwa,#ynwa,Hashtag / unclassified,6112,2026-08-23,1355,960,925,0.31734317343173435,27085,1453631,2343,5.4891750227709615,1.3719478455436473,4.0020377046210465,14.429888238524374,4476,False,False,
#khunpolgraduationday,#khunpolgraduationday,Hashtag / unclassified,1224,2026-08-27,315,154,40,0.873015873015873,1092,306641,1725,1.3389998674177592,0.23578898273901255,5.6841382211485225,14.42930980715008,772,False,False,
#パリ,#パリ,Hashtag / unclassified,1156,2026-08-19,328,325,6,0.9817073170731707,28379,519250,6003,1.407285077213399,0.2508934431495358,5.614229923608923,14.42689865713995,822,False,False,
#蒼穹のファフナー,#蒼穹のファフナー,Hashtag / unclassified,1093,2026-08-21,323,142,81,0.7492260061919505,9445,510135,2196,1.3136484001755326,0.23318636882453056,5.638485618286817,14.424734016636778,761,False,False,
