topic,label,peak_day,peak_tweets,share_lift,peak_n,baseline_n,peak_mean,baseline_mean,mean_shift,language_adjusted_shift,language_adjusted_q,strong_sentiment_shift,unsupported_peak_posts,unsupported_baseline_posts
entity:anthropic,Anthropic / AI safety discourse,2026-09-09,5312,7.937748738598941,178,249,-0.36233468688605874,-0.1524723940285813,-0.20986229285747746,-0.18592726184325226,0.0017243994553010917,True,22,51
entity:gta,Grand Theft Auto,2026-08-27,103236,3.655822809926739,184,266,-0.017222449234079406,-0.20069555774387113,0.18347310850979173,0.18848254427825858,0.002024073828214761,True,16,34
entity:arsenal,Arsenal,2026-08-21,81635,2.848772265657795,188,274,0.028207193901564214,-0.1317764623838402,0.1599836562854044,0.19184770208960825,0.004519219794407114,True,12,26
entity:bbnaija,Big Brother Naija,2026-09-07,1804,2.5436883060666116,196,278,-0.24810252023138563,-0.03880386254180678,-0.20929865768957884,-0.20834963260657025,0.0006069283065730967,True,4,22
entity:ukraine-russia,Ukraine / Russia,2026-08-24,60976,1.3784386721534343,192,287,-0.22416141764066802,-0.4443156009455591,0.2201541833048911,0.24728954026593136,6.863167924412739e-05,True,8,13
#5dayweekandfairpli,#5dayweekandfairpli,2026-08-30,2480,425.19951669677664,180,21,0.07431307223935922,0.26885642891838435,-0.19454335667902511,-0.25677011995798066,0.021434985264495908,False,20,3
#hulmun,#hulmun,2026-08-22,3798,305.77323365584977,186,37,-0.10387993451728615,0.09024163365766809,-0.19412156817495424,-0.25485016715104436,0.03242603352258229,False,14,6
entity:hayden-panettiere,Hayden Panettiere discourse,2026-08-17,92702,25.87259455842684,178,293,-0.49393415294085324,-0.3559651842957471,-0.13796896864510616,-0.15672656623348216,0.005654714682216045,False,22,7
entity:tim-curry,Tim Curry discourse,2026-08-26,119338,25.30835498015857,197,292,-0.3464583925108619,-0.19802702872771516,-0.14843136378314675,-0.1520857105725834,0.011855509912917249,False,3,8
#happyjkday,#happyjkday,2026-08-31,30559,1399.2901606735195,147,13,0.6692395201142953,0.6091818694884961,0.060057650625799264,0.07308954552654578,0.5711648254315858,False,53,28
entity:dolly-parton,Dolly Parton discourse,2026-08-25,274312,10.105048151775957,197,285,-0.26647001890664174,-0.1240983188544449,-0.14237170005219685,-0.13617665155466302,0.05773722633063146,False,3,15
#botswanawordexpo,#botswanawordexpo,2026-08-28,8112,478.3113132270824,169,15,0.14726446096140605,0.07959544112284979,0.06766901983855626,0.05293874801996867,0.8060380037455884,False,31,2
entity:peter-cullen,Peter Cullen discourse,2026-08-27,58668,22.628724912566376,194,294,-0.20922982212655322,-0.12418275856140519,-0.08504706356514803,-0.06475573565877216,0.4411563233864799,False,6,6
entity:enes-kanter,Enes Kanter,2026-08-24,24815,16.39742775813495,183,263,-0.563691681647887,-0.4718781368587407,-0.09181354478914627,-0.07778286017452662,0.17949151452929468,False,17,37
entity:messi,Lionel Messi,2026-08-31,106919,12.124126099219874,185,278,-0.09875215471193598,-0.1493989637108158,0.050646808998879814,0.07561451898283036,0.40066385780152247,False,15,22
entity:pfa,PFA football awards,2026-08-25,52966,20.294541660795694,186,275,0.23388320189570228,0.173022763105956,0.060860438789746285,0.06271639798866532,0.4411563233864799,False,14,25
